,Original Circuit,Original Circuit QASM,Qubit Count,Original Gate Count,Original Depth,H_0,S_0,CX_0,Optimized Circuit,Optimized Circuit QASM,Optimized Gate Count,Optimized Depth,H_Opt,S_Opt,CX_Opt,Time
0,"               ┌───┐┌───┐     
q_0: ──────────┤ X ├┤ X ├──■──
     ┌───┐┌───┐└─┬─┘└─┬─┘┌─┴─┐
q_1: ┤ S ├┤ S ├──■────■──┤ X ├
     └───┘└───┘          └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
s q[1];
cx q[1],q[0];
cx q[1],q[0];
cx q[0],q[1];",2,5,5,0,2,3,"                    
q_0: ────────────■──
     ┌───┐┌───┐┌─┴─┐
q_1: ┤ S ├┤ S ├┤ X ├
     └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
s q[1];
cx q[0],q[1];",3,3,0,2,1,0.12649297714233398
1,"     ┌───┐┌───┐┌───┐┌───┐┌───┐
q_0: ┤ H ├┤ X ├┤ X ├┤ X ├┤ S ├
     └───┘└─┬─┘└─┬─┘└─┬─┘└───┘
q_1: ───────■────■────■───────
                              ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
cx q[1],q[0];
cx q[1],q[0];
cx q[1],q[0];
s q[0];",2,5,5,1,1,3,"     ┌───┐┌───┐┌───┐
q_0: ┤ H ├┤ X ├┤ S ├
     └───┘└─┬─┘└───┘
q_1: ───────■───────
                    ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
cx q[1],q[0];
s q[0];",3,3,1,1,1,1.297044038772583
2,"                              
q_0: ──■────■─────────■───────
     ┌─┴─┐┌─┴─┐┌───┐┌─┴─┐┌───┐
q_1: ┤ X ├┤ X ├┤ S ├┤ X ├┤ S ├
     └───┘└───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
cx q[0],q[1];
s q[1];
cx q[0],q[1];
s q[1];",2,5,5,0,2,3,"                    
q_0: ───────■───────
     ┌───┐┌─┴─┐┌───┐
q_1: ┤ S ├┤ X ├┤ S ├
     └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
cx q[0],q[1];
s q[1];",3,3,0,2,1,0.09527277946472168
3,"     ┌───┐┌───┐┌───┐┌───┐
q_0: ┤ S ├┤ H ├┤ S ├┤ S ├
     ├───┤└───┘└───┘└───┘
q_1: ┤ H ├───────────────
     └───┘               ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
h q[0];
s q[0];
h q[1];
s q[0];",2,5,4,2,3,0,"     ┌───┐┌───┐┌───┐┌───┐
q_0: ┤ S ├┤ H ├┤ S ├┤ S ├
     ├───┤└───┘└───┘└───┘
q_1: ┤ H ├───────────────
     └───┘               ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
s q[0];
h q[0];
s q[0];
s q[0];",5,4,2,3,0,0.21841120719909668
4,"     ┌───┐               ┌───┐
q_0: ┤ X ├────────────■──┤ S ├
     └─┬─┘┌───┐┌───┐┌─┴─┐└───┘
q_1: ──■──┤ H ├┤ S ├┤ X ├─────
          └───┘└───┘└───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[1],q[0];
h q[1];
s q[1];
cx q[0],q[1];
s q[0];",2,5,5,1,2,2,"          ┌───┐          ┌───┐
q_0: ──■──┤ H ├──■───────┤ X ├
     ┌─┴─┐└───┘┌─┴─┐┌───┐└─┬─┘
q_1: ┤ X ├─────┤ X ├┤ S ├──■──
     └───┘     └───┘└───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
h q[0];
cx q[0],q[1];
s q[1];
cx q[1],q[0];",5,5,1,2,3,0.25577688217163086
5,"     ┌───┐┌───┐┌───┐
q_0: ┤ S ├┤ H ├┤ S ├
     ├───┤├───┤└───┘
q_1: ┤ H ├┤ S ├─────
     └───┘└───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
h q[0];
h q[1];
s q[1];
s q[0];",2,5,3,2,3,0,"     ┌───┐┌───┐┌───┐
q_0: ┤ S ├┤ H ├┤ S ├
     ├───┤├───┤└───┘
q_1: ┤ H ├┤ S ├─────
     └───┘└───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
s q[0];
h q[0];
s q[0];
s q[1];",5,3,2,3,0,0.05134701728820801
6,"                    ┌───┐     
q_0: ────────────■──┤ X ├─────
     ┌───┐┌───┐┌─┴─┐└─┬─┘┌───┐
q_1: ┤ H ├┤ H ├┤ X ├──■──┤ H ├
     └───┘└───┘└───┘     └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
h q[1];
cx q[0],q[1];
cx q[1],q[0];
h q[1];",2,5,5,3,0,2,"          ┌───┐     
q_0: ──■──┤ X ├─────
     ┌─┴─┐└─┬─┘┌───┐
q_1: ┤ X ├──■──┤ H ├
     └───┘     └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
cx q[1],q[0];
h q[1];",3,3,1,0,2,0.21952199935913086
7,"     ┌───┐┌───┐┌───┐┌───┐
q_0: ┤ S ├┤ S ├┤ H ├┤ H ├
     ├───┤└───┘└───┘└───┘
q_1: ┤ S ├───────────────
     └───┘               ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
s q[1];
s q[0];
h q[0];
h q[0];",2,5,4,2,3,0,"     ┌───┐┌───┐
q_0: ┤ S ├┤ S ├
     ├───┤└───┘
q_1: ┤ S ├─────
     └───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
s q[0];
s q[1];",3,2,0,3,0,0.2142200469970703
8,"     ┌───┐┌───┐┌───┐
q_0: ┤ H ├┤ H ├┤ X ├
     ├───┤├───┤└─┬─┘
q_1: ┤ S ├┤ S ├──■──
     └───┘└───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
h q[0];
h q[0];
s q[1];
cx q[1],q[0];",2,5,3,2,2,1,"               ┌───┐
q_0: ──────────┤ X ├
     ┌───┐┌───┐└─┬─┘
q_1: ┤ S ├┤ S ├──■──
     └───┘└───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
s q[1];
cx q[1],q[0];",3,3,0,2,1,0.047792911529541016
9,"     ┌───┐               ┌───┐
q_0: ┤ X ├──■─────────■──┤ X ├
     └─┬─┘┌─┴─┐┌───┐┌─┴─┐└─┬─┘
q_1: ──■──┤ X ├┤ H ├┤ X ├──■──
          └───┘└───┘└───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[1],q[0];
cx q[0],q[1];
h q[1];
cx q[0],q[1];
cx q[1],q[0];",2,5,5,1,0,4,"          ┌───┐     
q_0: ──■──┤ H ├──■──
     ┌─┴─┐└───┘┌─┴─┐
q_1: ┤ X ├─────┤ X ├
     └───┘     └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
h q[0];
cx q[0],q[1];",3,3,1,0,2,0.18319487571716309
