,Original Circuit,Original Circuit QASM,Qubit Count,Original Gate Count,Original Depth,H_0,S_0,CX_0,Optimized Circuit,Optimized Circuit QASM,Optimized Gate Count,Optimized Depth,H_Opt,S_Opt,CX_Opt,Time,% Gate Count Reduction,% Depth Reduction,% H Reduction,% S Reduction,% CX Reduction
0,"     ┌───┐               
q_0: ┤ H ├───────■───────
     ├───┤┌───┐┌─┴─┐┌───┐
q_1: ┤ H ├┤ H ├┤ X ├┤ S ├
     └───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
h q[1];
h q[0];
cx q[0],q[1];
s q[1];",2,5,4,3,1,1,"     ┌───┐          
q_0: ┤ H ├──■───────
     └───┘┌─┴─┐┌───┐
q_1: ─────┤ X ├┤ S ├
          └───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
cx q[0],q[1];
s q[1];",3,3,1,1,1,0.04399585723876953,40.0,25.0,66.66666666666667,0.0,0.0
1,"               ┌───┐┌───┐┌───┐
q_0: ──■────■──┤ H ├┤ S ├┤ X ├
     ┌─┴─┐┌─┴─┐└───┘└───┘└─┬─┘
q_1: ┤ X ├┤ X ├────────────■──
     └───┘└───┘               ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
cx q[0],q[1];
h q[0];
s q[0];
cx q[1],q[0];",2,5,5,1,1,3,"     ┌───┐┌───┐┌───┐
q_0: ┤ H ├┤ S ├┤ X ├
     └───┘└───┘└─┬─┘
q_1: ────────────■──
                    ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
s q[0];
cx q[1],q[0];",3,3,1,1,1,0.0381619930267334,40.0,40.0,0.0,0.0,66.66666666666667
2,"                              
q_0: ──■───────────────────■──
     ┌─┴─┐┌───┐┌───┐┌───┐┌─┴─┐
q_1: ┤ X ├┤ S ├┤ S ├┤ S ├┤ X ├
     └───┘└───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
s q[1];
s q[1];
s q[1];
cx q[0],q[1];",2,5,5,0,3,2,"                              
q_0: ──■───────────────────■──
     ┌─┴─┐┌───┐┌───┐┌───┐┌─┴─┐
q_1: ┤ X ├┤ S ├┤ S ├┤ S ├┤ X ├
     └───┘└───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
s q[1];
s q[1];
s q[1];
cx q[0],q[1];",5,5,0,3,2,0.03873801231384277,0.0,0.0,0.0,0.0,0.0
3,"     ┌───┐          ┌───┐
q_0: ┤ S ├──■────■──┤ S ├
     ├───┤┌─┴─┐┌─┴─┐└───┘
q_1: ┤ S ├┤ X ├┤ X ├─────
     └───┘└───┘└───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
s q[0];
cx q[0],q[1];
cx q[0],q[1];
s q[0];",2,5,4,0,3,2,"     ┌───┐┌───┐
q_0: ┤ S ├┤ S ├
     ├───┤└───┘
q_1: ┤ S ├─────
     └───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
s q[0];
s q[1];",3,2,0,3,0,0.03765702247619629,40.0,50.0,0.0,0.0,100.0
4,"     ┌───┐┌───┐┌───┐┌───┐
q_0: ┤ S ├┤ S ├┤ X ├┤ S ├
     └───┘└───┘└─┬─┘├───┤
q_1: ────────────■──┤ S ├
                    └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
s q[0];
cx q[1],q[0];
s q[0];
s q[1];",2,5,4,0,4,1,"     ┌───┐┌───┐┌───┐┌───┐
q_0: ┤ S ├┤ S ├┤ X ├┤ S ├
     ├───┤└───┘└─┬─┘└───┘
q_1: ┤ S ├───────■───────
     └───┘               ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
s q[0];
s q[1];
cx q[1],q[0];
s q[0];",5,4,0,4,1,0.037932634353637695,0.0,0.0,0.0,0.0,0.0
5,"     ┌───┐┌───┐     
q_0: ┤ H ├┤ S ├──■──
     ├───┤├───┤┌─┴─┐
q_1: ┤ H ├┤ S ├┤ X ├
     └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
h q[0];
s q[0];
s q[1];
cx q[0],q[1];",2,5,3,2,2,1,"     ┌───┐┌───┐     
q_0: ┤ H ├┤ S ├──■──
     ├───┤├───┤┌─┴─┐
q_1: ┤ H ├┤ S ├┤ X ├
     └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
h q[1];
s q[0];
s q[1];
cx q[0],q[1];",5,3,2,2,1,0.03662896156311035,0.0,0.0,0.0,0.0,0.0
6,"     ┌───┐┌───┐     ┌───┐     
q_0: ┤ X ├┤ S ├──■──┤ S ├──■──
     └─┬─┘└───┘┌─┴─┐└───┘┌─┴─┐
q_1: ──■───────┤ X ├─────┤ X ├
               └───┘     └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[1],q[0];
s q[0];
cx q[0],q[1];
s q[0];
cx q[0],q[1];",2,5,5,0,2,3,"     ┌───┐┌───┐┌───┐
q_0: ┤ X ├┤ S ├┤ S ├
     └─┬─┘└───┘└───┘
q_1: ──■────────────
                    ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[1],q[0];
s q[0];
s q[0];",3,3,0,2,1,0.03939509391784668,40.0,40.0,0.0,0.0,66.66666666666667
7,"          ┌───┐┌───┐┌───┐┌───┐
q_0: ─────┤ X ├┤ X ├┤ H ├┤ H ├
     ┌───┐└─┬─┘└─┬─┘└───┘└───┘
q_1: ┤ H ├──■────■────────────
     └───┘                    ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
cx q[1],q[0];
cx q[1],q[0];
h q[0];
h q[0];",2,5,5,3,0,2,"          
q_0: ─────
     ┌───┐
q_1: ┤ H ├
     └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];",1,1,1,0,0,0.035633087158203125,80.0,80.0,66.66666666666667,0.0,100.0
8,"     ┌───┐┌───┐┌───┐     
q_0: ┤ S ├┤ H ├┤ X ├─────
     ├───┤└───┘└─┬─┘┌───┐
q_1: ┤ S ├───────■──┤ H ├
     └───┘          └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
s q[0];
h q[0];
cx q[1],q[0];
h q[1];",2,5,4,2,2,1,"     ┌───┐┌───┐┌───┐     
q_0: ┤ S ├┤ H ├┤ X ├─────
     ├───┤└───┘└─┬─┘┌───┐
q_1: ┤ S ├───────■──┤ H ├
     └───┘          └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
h q[0];
s q[1];
cx q[1],q[0];
h q[1];",5,4,2,2,1,0.03812670707702637,0.0,0.0,0.0,0.0,0.0
9,"     ┌───┐┌───┐          
q_0: ┤ S ├┤ X ├───────■──
     ├───┤└─┬─┘┌───┐┌─┴─┐
q_1: ┤ S ├──■──┤ S ├┤ X ├
     └───┘     └───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
s q[0];
cx q[1],q[0];
s q[1];
cx q[0],q[1];",2,5,4,0,3,2,"     ┌───┐     ┌───┐     
q_0: ┤ S ├─────┤ X ├──■──
     ├───┤┌───┐└─┬─┘┌─┴─┐
q_1: ┤ S ├┤ S ├──■──┤ X ├
     └───┘└───┘     └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
s q[1];
s q[1];
cx q[1],q[0];
cx q[0],q[1];",5,4,0,3,2,0.03654980659484863,0.0,0.0,0.0,0.0,0.0
