,Unnamed: 0,Original Circuit,Original Circuit QASM,Qubit Count,Original Gate Count,Original Depth,H_0,S_0,CX_0,Optimized Circuit,Optimized Circuit QASM,Optimized Gate Count,Optimized Depth,H_Opt,S_Opt,CX_Opt,Time,% Gate Count Reduction,% Depth Reduction,% H Reduction,% S Reduction,% CX Reduction,Optimized Circuit (Redone),Time (Clifford Object),Time (Optimization Process),Time (Reconstruction)
0,0,"     ┌───┐               
q_0: ┤ H ├───────■───────
     ├───┤┌───┐┌─┴─┐┌───┐
q_1: ┤ H ├┤ H ├┤ X ├┤ S ├
     └───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
h q[1];
h q[0];
cx q[0],q[1];
s q[1];",2,5,4,3,1,1,"     ┌───┐          
q_0: ┤ H ├──■───────
     └───┘┌─┴─┐┌───┐
q_1: ─────┤ X ├┤ S ├
          └───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
cx q[0],q[1];
s q[1];",3,3,1,1,1,0.004430055618286133,40.0,25.0,66.66666666666667,0.0,0.0,"     ┌───┐          
q_0: ┤ H ├──■───────
     └───┘┌─┴─┐┌───┐
q_1: ─────┤ X ├┤ S ├
          └───┘└───┘",0.0002129077911376953,0.003690004348754883,0.0005271434783935547
1,1,"               ┌───┐┌───┐┌───┐
q_0: ──■────■──┤ H ├┤ S ├┤ X ├
     ┌─┴─┐┌─┴─┐└───┘└───┘└─┬─┘
q_1: ┤ X ├┤ X ├────────────■──
     └───┘└───┘               ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
cx q[0],q[1];
h q[0];
s q[0];
cx q[1],q[0];",2,5,5,1,1,3,"     ┌───┐┌───┐┌───┐
q_0: ┤ H ├┤ S ├┤ X ├
     └───┘└───┘└─┬─┘
q_1: ────────────■──
                    ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
s q[0];
cx q[1],q[0];",3,3,1,1,1,0.0019419193267822266,40.0,40.0,0.0,0.0,66.66666666666667,"     ┌───┐┌───┐┌───┐
q_0: ┤ H ├┤ S ├┤ X ├
     └───┘└───┘└─┬─┘
q_1: ────────────■──
                    ",9.202957153320312e-05,0.0017850399017333984,6.4849853515625e-05
2,2,"                              
q_0: ──■───────────────────■──
     ┌─┴─┐┌───┐┌───┐┌───┐┌─┴─┐
q_1: ┤ X ├┤ S ├┤ S ├┤ S ├┤ X ├
     └───┘└───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
s q[1];
s q[1];
s q[1];
cx q[0],q[1];",2,5,5,0,3,2,"                              
q_0: ──■───────────────────■──
     ┌─┴─┐┌───┐┌───┐┌───┐┌─┴─┐
q_1: ┤ X ├┤ S ├┤ S ├┤ S ├┤ X ├
     └───┘└───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
s q[1];
s q[1];
s q[1];
cx q[0],q[1];",5,5,0,3,2,0.0029730796813964844,0.0,0.0,0.0,0.0,0.0,"                              
q_0: ──■───────────────────■──
     ┌─┴─┐┌───┐┌───┐┌───┐┌─┴─┐
q_1: ┤ X ├┤ S ├┤ S ├┤ S ├┤ X ├
     └───┘└───┘└───┘└───┘└───┘",8.392333984375e-05,0.0027990341186523438,9.012222290039062e-05
3,3,"     ┌───┐          ┌───┐
q_0: ┤ S ├──■────■──┤ S ├
     ├───┤┌─┴─┐┌─┴─┐└───┘
q_1: ┤ S ├┤ X ├┤ X ├─────
     └───┘└───┘└───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
s q[0];
cx q[0],q[1];
cx q[0],q[1];
s q[0];",2,5,4,0,3,2,"     ┌───┐┌───┐
q_0: ┤ S ├┤ S ├
     ├───┤└───┘
q_1: ┤ S ├─────
     └───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
s q[0];
s q[1];",3,2,0,3,0,0.0015761852264404297,40.0,50.0,0.0,0.0,100.0,"     ┌───┐┌───┐
q_0: ┤ S ├┤ S ├
     ├───┤└───┘
q_1: ┤ S ├─────
     └───┘     ",6.723403930664062e-05,0.001461029052734375,4.792213439941406e-05
4,4,"     ┌───┐┌───┐┌───┐┌───┐
q_0: ┤ S ├┤ S ├┤ X ├┤ S ├
     └───┘└───┘└─┬─┘├───┤
q_1: ────────────■──┤ S ├
                    └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
s q[0];
cx q[1],q[0];
s q[0];
s q[1];",2,5,4,0,4,1,"     ┌───┐┌───┐┌───┐┌───┐
q_0: ┤ S ├┤ S ├┤ X ├┤ S ├
     ├───┤└───┘└─┬─┘└───┘
q_1: ┤ S ├───────■───────
     └───┘               ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
s q[0];
s q[1];
cx q[1],q[0];
s q[0];",5,4,0,4,1,0.0023310184478759766,0.0,0.0,0.0,0.0,0.0,"     ┌───┐┌───┐┌───┐┌───┐
q_0: ┤ S ├┤ S ├┤ X ├┤ S ├
     ├───┤└───┘└─┬─┘└───┘
q_1: ┤ S ├───────■───────
     └───┘               ",4.982948303222656e-05,0.002225160598754883,5.602836608886719e-05
5,5,"     ┌───┐┌───┐     
q_0: ┤ H ├┤ S ├──■──
     ├───┤├───┤┌─┴─┐
q_1: ┤ H ├┤ S ├┤ X ├
     └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
h q[0];
s q[0];
s q[1];
cx q[0],q[1];",2,5,3,2,2,1,"     ┌───┐┌───┐     
q_0: ┤ H ├┤ S ├──■──
     ├───┤├───┤┌─┴─┐
q_1: ┤ H ├┤ S ├┤ X ├
     └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
h q[1];
s q[0];
s q[1];
cx q[0],q[1];",5,3,2,2,1,0.0020017623901367188,0.0,0.0,0.0,0.0,0.0,"     ┌───┐┌───┐     
q_0: ┤ H ├┤ S ├──■──
     ├───┤├───┤┌─┴─┐
q_1: ┤ H ├┤ S ├┤ X ├
     └───┘└───┘└───┘",5.7697296142578125e-05,0.0018842220306396484,5.984306335449219e-05
6,6,"     ┌───┐┌───┐     ┌───┐     
q_0: ┤ X ├┤ S ├──■──┤ S ├──■──
     └─┬─┘└───┘┌─┴─┐└───┘┌─┴─┐
q_1: ──■───────┤ X ├─────┤ X ├
               └───┘     └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[1],q[0];
s q[0];
cx q[0],q[1];
s q[0];
cx q[0],q[1];",2,5,5,0,2,3,"     ┌───┐┌───┐┌───┐
q_0: ┤ X ├┤ S ├┤ S ├
     └─┬─┘└───┘└───┘
q_1: ──■────────────
                    ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[1],q[0];
s q[0];
s q[0];",3,3,0,2,1,0.0016429424285888672,40.0,40.0,0.0,0.0,66.66666666666667,"     ┌───┐┌───┐┌───┐
q_0: ┤ X ├┤ S ├┤ S ├
     └─┬─┘└───┘└───┘
q_1: ──■────────────
                    ",5.7697296142578125e-05,0.0015442371368408203,4.100799560546875e-05
7,7,"          ┌───┐┌───┐┌───┐┌───┐
q_0: ─────┤ X ├┤ X ├┤ H ├┤ H ├
     ┌───┐└─┬─┘└─┬─┘└───┘└───┘
q_1: ┤ H ├──■────■────────────
     └───┘                    ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
cx q[1],q[0];
cx q[1],q[0];
h q[0];
h q[0];",2,5,5,3,0,2,"          
q_0: ─────
     ┌───┐
q_1: ┤ H ├
     └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];",1,1,1,0,0,0.002084016799926758,80.0,80.0,66.66666666666667,0.0,100.0,"          
q_0: ─────
     ┌───┐
q_1: ┤ H ├
     └───┘",6.914138793945312e-05,0.001965045928955078,4.982948303222656e-05
8,8,"     ┌───┐┌───┐┌───┐     
q_0: ┤ S ├┤ H ├┤ X ├─────
     ├───┤└───┘└─┬─┘┌───┐
q_1: ┤ S ├───────■──┤ H ├
     └───┘          └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
s q[0];
h q[0];
cx q[1],q[0];
h q[1];",2,5,4,2,2,1,"     ┌───┐┌───┐┌───┐     
q_0: ┤ S ├┤ H ├┤ X ├─────
     ├───┤└───┘└─┬─┘┌───┐
q_1: ┤ S ├───────■──┤ H ├
     └───┘          └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
h q[0];
s q[1];
cx q[1],q[0];
h q[1];",5,4,2,2,1,0.0023009777069091797,0.0,0.0,0.0,0.0,0.0,"     ┌───┐┌───┐┌───┐     
q_0: ┤ S ├┤ H ├┤ X ├─────
     ├───┤└───┘└─┬─┘┌───┐
q_1: ┤ S ├───────■──┤ H ├
     └───┘          └───┘",5.1975250244140625e-05,0.0021812915802001953,6.771087646484375e-05
9,9,"     ┌───┐┌───┐          
q_0: ┤ S ├┤ X ├───────■──
     ├───┤└─┬─┘┌───┐┌─┴─┐
q_1: ┤ S ├──■──┤ S ├┤ X ├
     └───┘     └───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
s q[0];
cx q[1],q[0];
s q[1];
cx q[0],q[1];",2,5,4,0,3,2,"     ┌───┐     ┌───┐     
q_0: ┤ S ├─────┤ X ├──■──
     ├───┤┌───┐└─┬─┘┌─┴─┐
q_1: ┤ S ├┤ S ├──■──┤ X ├
     └───┘└───┘     └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
s q[1];
s q[1];
cx q[1],q[0];
cx q[0],q[1];",5,4,0,3,2,0.0022690296173095703,0.0,0.0,0.0,0.0,0.0,"     ┌───┐     ┌───┐     
q_0: ┤ S ├─────┤ X ├──■──
     ├───┤┌───┐└─┬─┘┌─┴─┐
q_1: ┤ S ├┤ S ├──■──┤ X ├
     └───┘└───┘     └───┘",5.1021575927734375e-05,0.0021708011627197266,4.7206878662109375e-05
